Md;NN;EE;VV;NE;NV;EV;HH;LL;AA;HL;HA;LA
3390;518,9516;60,1067;36,0943;-130,5353;-7,6441;-21,1210;52,8462;553,4825;8,8241;-2,4925;6,6353;-0,4828
3420;537,2631;61,9616;37,2623;-135,2340;-7,8759;-21,7451;54,4481;573,0409;8,9979;-2,5689;6,7241;-0,4906
3450;555,8944;63,8472;38,4501;-140,0154;-8,1110;-22,3778;56,0751;592,9412;9,1753;-2,6466;6,8128;-0,4984
3480;574,8455;65,7636;39,6576;-144,8796;-8,3494;-23,0192;57,7270;613,1833;9,3563;-2,7254;6,9014;-0,5062
3510;594,1164;67,7108;40,8848;-149,8266;-8,5913;-23,6692;59,4040;633,7672;9,5409;-2,8053;6,9898;-0,5140
3540;613,7071;69,6890;42,1318;-154,8562;-8,8364;-24,3277;61,1058;654,6929;9,7291;-2,8865;7,0781;-0,5218
3570;633,6176;71,6980;43,3986;-159,9686;-9,0850;-24,9948;62,8327;675,9605;9,9211;-2,9688;7,1663;-0,5295
3600;653,8479;73,7380;44,6851;-165,1638;-9,3368;-25,6705;64,5845;697,5698;10,1168;-3,0522;7,2543;-0,5373
3630;674,3980;75,8090;45,9915;-170,4416;-9,5920;-26,3547;66,3613;719,5210;10,3163;-3,1369;7,3422;-0,5451
3660;695,2680;77,9110;47,3177;-175,8021;-9,8505;-27,0474;68,1630;741,8139;10,5197;-3,2227;7,4299;-0,5529
3690;716,4577;80,0440;48,6637;-181,2453;-10,1123;-27,7486;69,9898;764,4487;10,7269;-3,3097;7,5175;-0,5607
3720;737,9673;82,2081;50,0295;-186,7712;-10,3775;-28,4582;71,8414;787,4253;10,9381;-3,3978;7,6050;-0,5685
3750;759,7967;84,4033;51,4152;-192,3797;-10,6460;-29,1763;73,7181;810,7438;11,1533;-3,4872;7,6923;-0,5763
3780;781,9459;86,6297;52,8207;-198,0709;-10,9177;-29,9028;75,6197;834,4040;11,3725;-3,5776;7,7795;-0,5841
3810;804,4150;88,8872;54,2461;-203,8448;-11,1928;-30,6378;77,5464;858,4061;11,5958;-3,6693;7,8666;-0,5918
3840;827,2038;91,1759;55,6913;-209,7013;-11,4712;-31,3811;79,4979;882,7499;11,8232;-3,7621;7,9535;-0,5996
3870;850,3125;93,4958;57,1565;-215,6404;-11,7529;-32,1328;81,4745;907,4356;12,0547;-3,8561;8,0402;-0,6074
3900;873,7411;95,8470;58,6415;-221,6622;-12,0378;-32,8928;83,4760;932,4631;12,2905;-3,9513;8,1269;-0,6152
3930;897,4894;98,2296;60,1465;-227,7665;-12,3260;-33,6612;85,5025;957,8324;12,5306;-4,0477;8,2134;-0,6230
3960;921,5576;100,6434;61,6714;-233,9535;-12,6175;-34,4379;87,5539;983,5436;12,7750;-4,1452;8,2997;-0,6308
3990;945,9457;103,0887;63,2163;-240,2231;-12,9123;-35,2228;89,6303;1009,5965;13,0237;-4,2439;8,3859;-0,6386
4020;970,6536;105,5653;64,7810;-246,5753;-13,2104;-36,0161;91,7317;1035,9913;13,2769;-4,3437;8,4720;-0,6463
4050;995,6813;108,0734;66,3658;-253,0100;-13,5117;-36,8176;93,8581;1062,7279;13,5345;-4,4447;8,5579;-0,6541
4080;1021,0289;110,6129;67,9705;-259,5274;-13,8162;-37,6273;96,0094;1089,8062;13,7967;-4,5469;8,6437;-0,6619
4110;1046,6963;113,1840;69,5953;-266,1272;-14,1240;-38,4452;98,1857;1117,2265;14,0634;-4,6503;8,7294;-0,6697
4140;1072,6836;115,7866;71,2400;-272,8097;-14,4351;-39,2713;100,3870;1144,9885;14,3347;-4,7548;8,8149;-0,6775
4170;1098,9907;118,4208;72,9047;-279,5747;-14,7493;-40,1055;102,6133;1173,0923;14,6107;-4,8605;8,9003;-0,6853
4200;1125,6177;121,0866;74,5895;-286,4222;-15,0668;-40,9479;104,8645;1201,5380;14,8914;-4,9674;8,9855;-0,6931
4230;1152,5646;123,7841;76,2943;-293,3522;-15,3876;-41,7985;107,1407;1230,3254;15,1769;-5,0754;9,0706;-0,7009
4260;1179,8313;126,5133;78,0192;-300,3647;-15,7115;-42,6571;109,4418;1259,4547;15,4672;-5,1846;9,1556;-0,7086
4290;1207,4179;129,2742;79,7641;-307,4598;-16,0387;-43,5238;111,7679;1288,9258;15,7623;-5,2950;9,2404;-0,7164
4320;1235,3243;132,0668;81,5291;-314,6373;-16,3691;-44,3985;114,1190;1318,7387;16,0624;-5,4066;9,3251;-0,7242
4350;1263,5506;134,8913;83,3142;-321,8973;-16,7026;-45,2813;116,4951;1348,8935;16,3675;-5,5193;9,4097;-0,7320
4380;1292,0968;137,7475;85,1194;-329,2398;-17,0394;-46,1721;118,8961;1379,3900;16,6776;-5,6332;9,4941;-0,7398
4410;1320,9629;140,6357;86,9447;-336,6648;-17,3794;-47,0709;121,3221;1410,2284;16,9928;-5,7482;9,5784;-0,7476
4440;1350,1489;143,5558;88,7902;-344,1722;-17,7225;-47,9776;123,7731;1441,4086;17,3132;-5,8645;9,6625;-0,7554
4470;1379,6547;146,5078;90,6558;-351,7621;-18,0688;-48,8923;126,2490;1472,9305;17,6387;-5,9819;9,7465;-0,7631
4500;1409,4804;149,4918;92,5415;-359,4343;-18,4183;-49,8149;128,7499;1504,7944;17,9695;-6,1004;9,8303;-0,7709
4530;1439,6260;152,5079;94,4474;-367,1891;-18,7710;-50,7454;131,2758;1537,0000;18,3055;-6,2202;9,9140;-0,7787
4560;1470,0915;155,5560;96,3736;-375,0262;-19,1268;-51,6838;133,8267;1569,5474;18,6469;-6,3411;9,9976;-0,7865
4590;1500,8769;158,6362;98,3199;-382,9457;-19,4857;-52,6300;136,4025;1602,4367;18,9938;-6,4632;10,0811;-0,7943
4620;1531,9822;161,7485;100,2864;-390,9476;-19,8478;-53,5841;139,0033;1635,6677;19,3461;-6,5864;10,1644;-0,8021
4650;1563,4073;164,8931;102,2732;-399,0319;-20,2131;-54,5460;141,6291;1669,2406;19,7039;-6,7108;10,2475;-0,8099
4680;1595,1524;168,0698;104,2802;-407,1986;-20,5815;-55,5156;144,2798;1703,1553;20,0673;-6,8364;10,3305;-0,8177
4710;1627,2174;171,2788;106,3074;-415,4476;-20,9530;-56,4930;146,9555;1737,4118;20,4363;-6,9632;10,4134;-0,8254
4740;1659,6023;174,5201;108,3549;-423,7790;-21,3276;-57,4782;149,6562;1772,0102;20,8111;-7,0911;10,4962;-0,8332
4770;1692,3071;177,7938;110,4228;-432,1927;-21,7054;-58,4710;152,3818;1806,9503;21,1915;-7,2202;10,5788;-0,8410
4800;1725,3318;181,0998;112,5109;-440,6888;-22,0862;-59,4716;155,1324;1842,2323;21,5778;-7,3505;10,6612;-0,8488
